"","min","q1st","median","mean","q3rd","max","na.count","layer_name"
"222",0,0,0,0.569767064193907,0,100,2143,"clm_snow.prob_esacci.sep_p_1km_s0..0cm_2000..2016_v1.0.tif"
"223",10,82,100,110.421587530302,124,600,2143,"clm_water.vapor_nasa.eo.apr_m_1km_s0..0cm_2000..2017_v1.0.tif"
"224",30,197,260,268.446493266446,327,600,2143,"clm_water.vapor_nasa.eo.aug_m_1km_s0..0cm_2000..2017_v1.0.tif"
"225",7,52,67,75.434210176658,84,600,2143,"clm_water.vapor_nasa.eo.dec_m_1km_s0..0cm_2000..2017_v1.0.tif"
"226",7,48,62,71.7955278923576,81,600,2143,"clm_water.vapor_nasa.eo.feb_m_1km_s0..0cm_2000..2017_v1.0.tif"
"227",7,50,65,73.2825553551023,83,600,2143,"clm_water.vapor_nasa.eo.jan_m_1km_s0..0cm_2000..2017_v1.0.tif"
"228",30,207,275,279.335972032349,342,600,2143,"clm_water.vapor_nasa.eo.jul_m_1km_s0..0cm_2000..2017_v1.0.tif"
"229",32,158,220,226.00188380079,274,600,2143,"clm_water.vapor_nasa.eo.jun_m_1km_s0..0cm_2000..2017_v1.0.tif"
"230",8,61,78,86.7887603823112,98,600,2143,"clm_water.vapor_nasa.eo.mar_m_1km_s0..0cm_2000..2017_v1.0.tif"
"231",20,123,153,163.443425446665,188,600,2143,"clm_water.vapor_nasa.eo.may_m_1km_s0..0cm_2000..2017_v1.0.tif"
"232",9,68,90,97.1141884450376,110,599,2143,"clm_water.vapor_nasa.eo.nov_m_1km_s0..0cm_2000..2017_v1.0.tif"
"233",15,100,134,139.492064710624,159,596,2143,"clm_water.vapor_nasa.eo.oct_m_1km_s0..0cm_2000..2017_v1.0.tif"
"234",31,144,199,202.325014689512,232,600,2143,"clm_water.vapor_nasa.eo.sep_m_1km_s0..0cm_2000..2017_v1.0.tif"
"235",0,0,0,0.21816657168925,0,93,2143,"lcv_water.occurance_jrc.surfacewater_p_250m_b0..200cm_1984..2018_v1.1.tif"
"236",0,0,0,0.182607617287268,0,100,2143,"lcv_water.permanent_probav.lc100_p_250m_s0..0cm_2017_v1.0.tif"
"237",0,0,0,0.527414025753151,0,100,2143,"lcv_water.seasonal_probav.lc100_p_250m_s0..0cm_2017_v1.0.tif"
"238",0,0,0,9.08805439991496,0,100,2143,"lcv_wetlands.groundwater.driven_upmc.wtd_p_250m_b0..200cm_2010..2015_v1.0.tif"
"239",5,37,43,43.0547607090305,50,77,2143,"clm_wind.speed_terraclimate.apr_m_5km_s0..0cm_1998..2018_v1.tif"
"240",5,24,29,29.6217723671817,35,72,2143,"clm_wind.speed_terraclimate.aug_m_5km_s0..0cm_1998..2018_v1.tif"
"241",3,30,37,36.0959640915833,43,96,2143,"clm_wind.speed_terraclimate.dec_m_5km_s0..0cm_1998..2018_v1.tif"
"242",5,32,39,38.4288894728606,45,87,2143,"clm_wind.speed_terraclimate.feb_m_5km_s0..0cm_1998..2018_v1.tif"
"243",4,31,38,36.5382887923695,43,95,2143,"clm_wind.speed_terraclimate.jan_m_5km_s0..0cm_1998..2018_v1.tif"
"244",5,26,31,31.116255525414,36,71,2143,"clm_wind.speed_terraclimate.jul_m_5km_s0..0cm_1998..2018_v1.tif"
"245",5,29,35,35.3239881163985,41,69,2143,"clm_wind.speed_terraclimate.jun_m_5km_s0..0cm_1998..2018_v1.tif"
"246",5,34,40,39.9677984984616,46,81,2143,"clm_wind.speed_terraclimate.mar_m_5km_s0..0cm_1998..2018_v1.tif"
"247",5,33,40,39.322807792926,45,75,2143,"clm_wind.speed_terraclimate.may_m_5km_s0..0cm_1998..2018_v1.tif"
"248",4,29,36,35.5864267780356,43,92,2143,"clm_wind.speed_terraclimate.nov_m_5km_s0..0cm_1998..2018_v1.tif"
"249",2,28,34,34.307416801259,41,81,2143,"clm_wind.speed_terraclimate.oct_m_5km_s0..0cm_1998..2018_v1.tif"
"250",4,25,29,30.8023541636287,36,71,2143,"clm_wind.speed_terraclimate.sep_m_5km_s0..0cm_1998..2018_v1.tif"
"251",-260,-5,-2,-5.27943921220709,-1,23,2143,"dtm_curvature_merit.dem_m_1km_s0..0cm_2017_v1.0.tif"
"252",-161,-5,-2,-4.18526144473923,-1,17,2144,"dtm_curvature_merit.dem_m_2km_s0..0cm_2017_v1.0.tif"
"253",-295,-6,-2,-5.65055576382169,-1,32,2143,"dtm_downlslope.curvature_merit.dem_m_1km_s0..0cm_2017_v1.0.tif"
"254",-188,-5,-2,-4.48544090499533,0,16,2144,"dtm_downlslope.curvature_merit.dem_m_2km_s0..0cm_2017_v1.0.tif"
"255",-296,-55,-14,-9.22763910373973,34,423,2143,"dtm_dvm_merit.dem_m_1km_s0..0cm_2017_v1.0.tif"
"256",-294,-58,-15,-11.1702697634681,31,439,2144,"dtm_dvm_merit.dem_m_2km_s0..0cm_2017_v1.0.tif"
"257",-301,-60,-15,-10.7538921223046,34,429,2143,"dtm_dvm2_merit.dem_m_1km_s0..0cm_2017_v1.0.tif"
"258",-294,-59,-17,-12.5110859630115,30,468,2144,"dtm_dvm2_merit.dem_m_2km_s0..0cm_2017_v1.0.tif"
"259",-17,-16,-14,-1.12210454208582,-8,3254,2143,"dtm_earthquakes.dens_earthquake.usgs_m_1km_s0..0cm_1910..2017_v1.0.tif"
"260",0,0,0,0.304726922702162,0,3,2143,"dtm_inundation.extent_giems.d15_m_1km_s0..0cm_2015_v1.0.tif"
"261",0,1,2,6.19962204636467,6,172,2143,"dtm_mrn_merit.dem_m_1km_s0..0cm_2017_v1.0.tif"
"262",0,1,2,5.89698625932854,6,178,2144,"dtm_mrn_merit.dem_m_2km_s0..0cm_2017_v1.0.tif"
"263",136,156,157,156.380241194293,157,158,2143,"dtm_neg.openess_merit.dem_m_1km_s0..0cm_2017_v1.0.tif"
"264",144,157,157,156.634729517103,157,158,2144,"dtm_neg.openess_merit.dem_m_2km_s0..0cm_2017_v1.0.tif"
"265",133,156,157,156.155465635935,157,158,2143,"dtm_pos.openess_merit.dem_m_1km_s0..0cm_2017_v1.0.tif"
"266",144,156,157,156.500375935298,157,158,2144,"dtm_pos.openess_merit.dem_m_2km_s0..0cm_2017_v1.0.tif"
"267",0,0,1,2.19343827353496,2,41,2143,"dtm_slope_merit.dem_m_1km_s0..0cm_2017_v1.0.tif"
"268",0,0,1,1.45873514084069,2,26,2144,"dtm_slope_merit.dem_m_2km_s0..0cm_2017_v1.0.tif"
"269",-67,-1,0,-0.24321311409671,0,57,2143,"dtm_tpi_merit.dem_m_1km_s0..0cm_2017_v1.0.tif"
"270",64,108,116,113.540098332399,122,140,2143,"dtm_twi_merit.dem_m_1km_s0..0cm_2017_v1.0.tif"
"271",79,119,128,124.700959151044,133,151,2144,"dtm_twi_merit.dem_m_2km_s0..0cm_2017_v1.0.tif"
"272",53,97,106,103.245932369406,112,135,2143,"dtm_twi_merit.dem_m_500m_s0..0cm_2017_v1.0.tif"
"273",-58,0,1,3.30294089713505,3,176,2143,"dtm_upslope.curvature_merit.dem_m_1km_s0..0cm_2017_v1.0.tif"
"274",-34,0,1,2.76437420322737,2,127,2144,"dtm_upslope.curvature_merit.dem_m_2km_s0..0cm_2017_v1.0.tif"
"275",0,221,498,554.33203510214,1019,1085,2143,"dtm_vbf_merit.dem_m_1km_s0..0cm_2017_v1.0.tif"
"276",0,490,983,766.832511085817,991,997,2144,"dtm_vbf_merit.dem_m_2km_s0..0cm_2017_v1.0.tif"
"277",0,150,448,411.271906895847,657,1095,2143,"dtm_vbf_merit.dem_m_500m_s0..0cm_2017_v1.0.tif"
"278",-10000,-6154,-240,-114.019569195689,5926,9999,2143,"dtm_aspect.cosine_merit.dem_m_250m_s0..0cm_2018_v1.0.tif"
"279",-1000,-599,74,38.4143967982627,672,1000,2143,"dtm_aspect.sine_merit.dem_m_250m_s0..0cm_2018_v1.0.tif"
"280",-8778,-1608,-80,-65.1801435664128,1495,8405,2143,"dtm_convergence_merit.dem_m_250m_s0..0cm_2018_v1.0.tif"
"281",-5131,-1274,-381,87.3668206353763,967,16240,2143,"dtm_cti_merit.dem_m_250m_s0..0cm_2018_v1.0.tif"
"282",-337,-8,-3,-7.78292756229022,-1,87,2143,"dtm_curvature_merit.dem_m_250m_s0..0cm_2017_v1.0.tif"
"283",-50,-11,-2,-0.146812751452953,10,649,2143,"dtm_dev.magnitude_merit.dem_m_250m_s0..0cm_2018_v1.0.tif"
"284",-377,-8,-3,-7.99457918718592,-1,140,2143,"dtm_downlslope.curvature_merit.dem_m_250m_s0..0cm_2017_v1.0.tif"
"285",-601,-51,-8,-3.5492004112747,42,532,2143,"dtm_dvm_merit.dem_m_250m_s0..0cm_2017_v1.0.tif"
"286",-760,-54,-10,-4.95843869117075,42,549,2143,"dtm_dvm2_merit.dem_m_250m_s0..0cm_2017_v1.0.tif"
"287",-6275,-109,6,3.55081017898621,121,7279,2143,"dtm_easthness_merit.dem_m_250m_s0..0cm_2018_v1.0.tif"
"288",-319,245,425,738.230138997937,1221,5073,2143,"dtm_elevation_merit.dem_m_250m_s0..0cm_2017_v1.0.tif"
"289",0,0,1,5.35788715497145,5,243,2143,"dtm_mrn_merit.dem_m_250m_s0..0cm_2017_v1.0.tif"
"290",114,156,157,155.707877040857,157,159,2143,"dtm_neg.openess_merit.dem_m_250m_s0..0cm_2017_v1.0.tif"
"291",-6916,-108,-2,1.58494767466813,109,7010,2143,"dtm_northness_merit.dem_m_250m_s0..0cm_2018_v1.0.tif"
"292",-642,-10,0,-1.8950339270541,8,775,2143,"dtm_pcurv_merit.dem_m_250m_s0..0cm_2018_v1.0.tif"
"293",111,155,156,155.432975031837,157,159,2143,"dtm_pos.openess_merit.dem_m_250m_s0..0cm_2017_v1.0.tif"
"294",10,140,274,480.969210394306,709,3417,2143,"dtm_rough.magnitude_merit.dem_m_250m_s0..0cm_2018_v1.0.tif"
"295",1,85,556,889.678562767915,1999,1999,2143,"dtm_rough.scale_merit.dem_m_250m_s0..0cm_2018_v1.0.tif"
"296",0,28,66,140.034051447707,153,2677,2143,"dtm_roughness_merit.dem_m_250m_s0..0cm_2018_v1.0.tif"
"297",0,1,2,3.7375192797537,4,81,2143,"dtm_slope_merit.dem_m_250m_s0..0cm_2017_v1.0.tif"
"298",-689,-6,1,3.19470942469254,10,824,2143,"dtm_tcurv_merit.dem_m_250m_s0..0cm_2018_v1.0.tif"
"299",-91,-1,0,-0.334297275654223,1,93,2143,"dtm_tpi_merit.dem_m_250m_s0..0cm_2017_v1.0.tif"
"300",-143,0,2,4.99092453015502,6,420,2143,"dtm_upslope.curvature_merit.dem_m_250m_s0..0cm_2017_v1.0.tif"
"301",0,79,375,371.991206857603,635,1188,2143,"dtm_vbf_merit.dem_m_250m_s0..0cm_2017_v1.0.tif"
"302",0,2,9,100.540355202025,49,16740,2143,"dtm_vrm_merit.dem_m_250m_s0..0cm_2018_v1.0.tif"
"303",690,4393,5373,5145.11158714646,5914,9816,2143,"clm_cloud.fraction_earthenv.modis.annual_m_1km_s0..0cm_2000..2015_v1.0.tif"
"304",621,4884,5567,5347.19483460642,6081,10000,2143,"clm_cloud.fraction_earthenv.modis.apr_p_1km_s0..0cm_2000..2015_v1.0.tif"
"305",0,3737,4789,4580.54094904585,5515,9985,2143,"clm_cloud.fraction_earthenv.modis.aug_p_1km_s0..0cm_2000..2015_v1.0.tif"
"306",142,4828,5736,5771.21913209341,6721,9999,2143,"clm_cloud.fraction_earthenv.modis.dec_p_1km_s0..0cm_2000..2015_v1.0.tif"
"307",261,4950,5587,5637.12666050544,6370,10000,2143,"clm_cloud.fraction_earthenv.modis.feb_p_1km_s0..0cm_2000..2015_v1.0.tif"
"308",352,4424,5429,5428.75022809343,6326,10000,2143,"clm_cloud.fraction_earthenv.modis.jan_p_1km_s0..0cm_2000..2015_v1.0.tif"
"309",0,3718,4781,4654.84032869076,5768,9925,2143,"clm_cloud.fraction_earthenv.modis.jul_p_1km_s0..0cm_2000..2015_v1.0.tif"
"310",63,3740,5251,4895.63823938443,6070,9933,2143,"clm_cloud.fraction_earthenv.modis.jun_p_1km_s0..0cm_2000..2015_v1.0.tif"
"311",414,4841,5777,5567.90803036522,6381,10000,2143,"clm_cloud.fraction_earthenv.modis.mar_p_1km_s0..0cm_2000..2015_v1.0.tif"
"312",480,4804,5867,5497.78850054772,6476,9937,2143,"clm_cloud.fraction_earthenv.modis.may_p_1km_s0..0cm_2000..2015_v1.0.tif"
"313",94,4127,5082,5186.86036252831,6331,9998,2143,"clm_cloud.fraction_earthenv.modis.nov_p_1km_s0..0cm_2000..2015_v1.0.tif"
"314",132,3890,4861,4794.04385299267,5739,9958,2143,"clm_cloud.fraction_earthenv.modis.oct_p_1km_s0..0cm_2000..2015_v1.0.tif"
"315",36,3638,4449,4385.95810167209,5299,9952,2143,"clm_cloud.fraction_earthenv.modis.sep_p_1km_s0..0cm_2000..2015_v1.0.tif"
